Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
248.58	2.2437	425.66	0.0023493	5.7854	5.9333	27.931	38.260	92.765	642.15	0.48678	6.6741e-05	0.10129	0.0039764	43.046	0.023231	13.152	14.615	62.855	37.082	72.403	249.79	19.169	9.8127e-06	0.019503
248.72	2.2521	425.31	0.0023512	5.7974	5.9460	27.980	38.271	92.916	640.76	0.49166	6.6608e-05	0.10116	0.0039570	43.233	0.023131	13.152	14.613	62.828	37.116	72.617	249.69	19.148	9.8245e-06	0.019545
248.86	2.2605	424.95	0.0023532	5.8094	5.9587	28.029	38.282	93.067	639.38	0.49656	6.6475e-05	0.10102	0.0039377	43.420	0.023031	13.151	14.612	62.800	37.151	72.832	249.59	19.127	9.8364e-06	0.019586
249.00	2.2689	424.59	0.0023552	5.8214	5.9713	28.078	38.294	93.219	638.00	0.50147	6.6342e-05	0.10089	0.0039185	43.607	0.022932	13.151	14.610	62.772	37.185	73.049	249.50	19.106	9.8482e-06	0.019628
249.14	2.2773	424.24	0.0023572	5.8334	5.9839	28.126	38.305	93.372	636.62	0.50641	6.6210e-05	0.10076	0.0038993	43.795	0.022834	13.150	14.609	62.744	37.220	73.266	249.40	19.085	9.8601e-06	0.019669
249.28	2.2857	423.88	0.0023592	5.8453	5.9966	28.174	38.316	93.526	635.24	0.51137	6.6079e-05	0.10063	0.0038802	43.983	0.022736	13.149	14.607	62.716	37.254	73.485	249.30	19.065	9.8720e-06	0.019711
249.42	2.2941	423.52	0.0023611	5.8572	6.0092	28.223	38.328	93.681	633.87	0.51635	6.5947e-05	0.10050	0.0038611	44.171	0.022639	13.149	14.606	62.689	37.289	73.705	249.21	19.044	9.8839e-06	0.019753
249.56	2.3025	423.17	0.0023631	5.8691	6.0217	28.271	38.339	93.836	632.49	0.52134	6.5817e-05	0.10037	0.0038421	44.360	0.022543	13.148	14.604	62.661	37.323	73.926	249.11	19.024	9.8959e-06	0.019795
249.69	2.3109	422.81	0.0023651	5.8810	6.0343	28.319	38.351	93.993	631.12	0.52636	6.5686e-05	0.10024	0.0038232	44.549	0.022447	13.147	14.602	62.633	37.358	74.149	249.01	19.003	9.9078e-06	0.019837
249.83	2.3193	422.46	0.0023671	5.8928	6.0468	28.367	38.362	94.150	629.76	0.53140	6.5556e-05	0.10011	0.0038043	44.739	0.022352	13.146	14.601	62.606	37.393	74.372	248.91	18.983	9.9197e-06	0.019879
