Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
474.29	0.069652	607.80	0.0016453	-7.5892	-7.5697	-15.691	423.85	493.97	681.08	-0.16997	0.00021804	0.098026	0.010868	3.1842	0.31405	33.916	37.642	79.633	403.56	414.84	145.56	30.231	7.1783e-06	0.023007
475.95	0.072681	606.32	0.0016493	-6.7679	-6.7475	-13.962	424.88	495.16	675.95	-0.16580	0.00021534	0.097702	0.010751	3.3171	0.30147	34.562	38.294	80.673	404.76	416.14	145.55	29.923	7.2038e-06	0.023188
477.56	0.075709	604.87	0.0016532	-5.9715	-5.9501	-12.292	425.87	496.32	670.99	-0.16171	0.00021275	0.097389	0.010638	3.4498	0.28987	35.189	38.927	81.680	405.91	417.39	145.53	29.631	7.2286e-06	0.023365
479.12	0.078737	603.47	0.0016571	-5.1982	-5.1760	-10.675	426.83	497.43	666.19	-0.15768	0.00021028	0.097086	0.010529	3.5826	0.27913	35.797	39.540	82.656	407.02	418.61	145.51	29.355	7.2526e-06	0.023538
480.63	0.081766	602.10	0.0016609	-4.4466	-4.4235	-9.1085	427.77	498.52	661.54	-0.15370	0.00020791	0.096793	0.010423	3.7152	0.26916	36.388	40.137	83.604	408.10	419.79	145.48	29.094	7.2758e-06	0.023706
482.09	0.084794	600.76	0.0016645	-3.7152	-3.6912	-7.5890	428.67	499.58	657.02	-0.14978	0.00020563	0.096508	0.010321	3.8478	0.25989	36.963	40.716	84.525	409.14	420.94	145.44	28.845	7.2984e-06	0.023871
483.52	0.087822	599.46	0.0016682	-3.0028	-2.9778	-6.1132	429.54	500.61	652.63	-0.14592	0.00020344	0.096231	0.010222	3.9804	0.25123	37.523	41.281	85.421	410.16	422.06	145.41	28.608	7.3203e-06	0.024032
484.91	0.090851	598.19	0.0016717	-2.3081	-2.2823	-4.6786	430.40	501.61	648.36	-0.14209	0.00020134	0.095962	0.010125	4.1129	0.24314	38.068	41.831	86.293	411.14	423.14	145.36	28.382	7.3417e-06	0.024190
486.26	0.093879	596.94	0.0016752	-1.6303	-1.6035	-3.2825	431.22	502.59	644.20	-0.13831	0.00019931	0.095700	0.010032	4.2454	0.23555	38.600	42.367	87.144	412.10	424.21	145.32	28.166	7.3625e-06	0.024344
487.58	0.096907	595.73	0.0016786	-0.96823	-0.94052	-1.9227	432.03	503.54	640.15	-0.13457	0.00019735	0.095445	0.0099406	4.3779	0.22842	39.120	42.890	87.973	413.04	425.24	145.26	27.960	7.3828e-06	0.024495
488.86	0.099936	594.54	0.0016820	-0.32115	-0.29252	-0.59720	432.82	504.47	636.20	-0.13087	0.00019545	0.095196	0.0098517	4.5104	0.22171	39.628	43.402	88.782	413.95	426.25	145.21	27.763	7.4026e-06	0.024643
490.12	0.10296	593.37	0.0016853	0.31176	0.34132	0.69592	433.58	505.38	632.34	-0.12720	0.00019362	0.094953	0.0097652	4.6429	0.21538	40.124	43.902	89.573	414.83	427.24	145.15	27.574	7.4220e-06	0.024789
