Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
379.22	1.7145	455.70	0.0021944	27.789	28.008	107.85	119.43	186.33	451.87	0.56556	7.3403e-05	0.076437	0.0034841	45.058	0.022194	40.094	42.306	145.56	119.32	158.94	175.28	19.054	9.9167e-06	0.028652
379.42	1.7209	455.32	0.0021963	27.824	28.043	107.94	119.49	186.54	450.69	0.57087	7.3243e-05	0.076380	0.0034663	45.255	0.022097	40.108	42.318	145.57	119.40	159.23	175.13	19.055	9.9268e-06	0.028698
379.61	1.7272	454.94	0.0021981	27.858	28.079	108.03	119.55	186.76	449.51	0.57620	7.3083e-05	0.076324	0.0034485	45.452	0.022001	40.121	42.330	145.58	119.47	159.51	174.97	19.056	9.9369e-06	0.028745
379.80	1.7335	454.56	0.0021999	27.893	28.114	108.13	119.60	186.97	448.33	0.58156	7.2924e-05	0.076267	0.0034307	45.650	0.021906	40.134	42.341	145.58	119.55	159.80	174.82	19.057	9.9471e-06	0.028792
380.00	1.7398	454.18	0.0022018	27.927	28.150	108.22	119.66	187.19	447.15	0.58695	7.2765e-05	0.076211	0.0034131	45.848	0.021811	40.147	42.353	145.59	119.62	160.08	174.66	19.058	9.9572e-06	0.028839
380.19	1.7462	453.80	0.0022036	27.961	28.185	108.31	119.72	187.40	445.98	0.59236	7.2607e-05	0.076155	0.0033955	46.046	0.021717	40.160	42.364	145.60	119.70	160.37	174.51	19.059	9.9674e-06	0.028886
380.38	1.7525	453.42	0.0022054	27.996	28.220	108.40	119.77	187.62	444.81	0.59781	7.2449e-05	0.076100	0.0033779	46.245	0.021624	40.173	42.376	145.61	119.77	160.66	174.35	19.060	9.9776e-06	0.028933
380.57	1.7588	453.04	0.0022073	28.030	28.256	108.49	119.83	187.84	443.64	0.60328	7.2292e-05	0.076044	0.0033604	46.444	0.021531	40.186	42.387	145.62	119.85	160.96	174.19	19.061	9.9878e-06	0.028980
380.76	1.7651	452.67	0.0022091	28.064	28.291	108.58	119.88	188.06	442.47	0.60879	7.2135e-05	0.075989	0.0033430	46.644	0.021439	40.199	42.399	145.63	119.92	161.25	174.04	19.063	9.9980e-06	0.029027
380.95	1.7715	452.29	0.0022110	28.098	28.326	108.67	119.94	188.28	441.30	0.61432	7.1979e-05	0.075934	0.0033257	46.844	0.021347	40.212	42.410	145.64	120.00	161.54	173.88	19.064	1.0008e-05	0.029074
381.14	1.7778	451.91	0.0022128	28.132	28.361	108.76	120.00	188.50	440.14	0.61988	7.1823e-05	0.075879	0.0033084	47.044	0.021256	40.225	42.421	145.65	120.07	161.84	173.72	19.066	1.0019e-05	0.029121
381.33	1.7841	451.53	0.0022147	28.166	28.396	108.85	120.05	188.72	438.98	0.62547	7.1668e-05	0.075824	0.0032911	47.245	0.021166	40.237	42.432	145.66	120.15	162.14	173.57	19.068	1.0029e-05	0.029169
381.52	1.7904	451.15	0.0022165	28.200	28.431	108.94	120.11	188.94	437.82	0.63109	7.1513e-05	0.075769	0.0032740	47.446	0.021076	40.250	42.443	145.67	120.22	162.44	173.41	19.069	1.0039e-05	0.029216
381.71	1.7968	450.77	0.0022184	28.234	28.466	109.03	120.17	189.16	436.66	0.63674	7.1359e-05	0.075715	0.0032568	47.648	0.020987	40.263	42.454	145.68	120.30	162.74	173.25	19.071	1.0049e-05	0.029264
381.90	1.8031	450.40	0.0022203	28.268	28.501	109.12	120.22	189.39	435.51	0.64242	7.1205e-05	0.075661	0.0032398	47.850	0.020899	40.275	42.465	145.68	120.37	163.04	173.09	19.073	1.0060e-05	0.029311
382.09	1.8094	450.02	0.0022221	28.302	28.536	109.21	120.28	189.61	434.36	0.64813	7.1052e-05	0.075606	0.0032228	48.053	0.020811	40.288	42.476	145.69	120.44	163.34	172.94	19.075	1.0070e-05	0.029358
382.27	1.8158	449.64	0.0022240	28.336	28.570	109.30	120.33	189.84	433.20	0.65388	7.0899e-05	0.075553	0.0032059	48.255	0.020723	40.300	42.487	145.70	120.52	163.65	172.78	19.077	1.0081e-05	0.029406
382.46	1.8221	449.26	0.0022259	28.369	28.605	109.38	120.39	190.06	432.06	0.65965	7.0747e-05	0.075499	0.0031890	48.459	0.020636	40.313	42.498	145.71	120.59	163.95	172.62	19.079	1.0091e-05	0.029454
382.65	1.8284	448.89	0.0022277	28.403	28.640	109.47	120.45	190.29	430.91	0.66545	7.0595e-05	0.075445	0.0031722	48.662	0.020550	40.325	42.509	145.72	120.67	164.26	172.46	19.082	1.0101e-05	0.029501
382.83	1.8347	448.51	0.0022296	28.436	28.674	109.56	120.50	190.52	429.76	0.67129	7.0443e-05	0.075392	0.0031554	48.866	0.020464	40.337	42.519	145.73	120.74	164.57	172.30	19.084	1.0112e-05	0.029549
383.02	1.8411	448.13	0.0022315	28.470	28.709	109.65	120.56	190.75	428.62	0.67716	7.0292e-05	0.075339	0.0031387	49.071	0.020379	40.349	42.530	145.73	120.82	164.88	172.14	19.086	1.0122e-05	0.029597
383.20	1.8474	447.75	0.0022334	28.503	28.743	109.74	120.61	190.98	427.48	0.68306	7.0142e-05	0.075286	0.0031221	49.276	0.020294	40.362	42.541	145.74	120.89	165.20	171.99	19.089	1.0133e-05	0.029645
383.39	1.8537	447.38	0.0022353	28.537	28.777	109.82	120.67	191.21	426.34	0.68900	6.9991e-05	0.075233	0.0031055	49.481	0.020210	40.374	42.551	145.75	120.97	165.51	171.83	19.092	1.0143e-05	0.029693
383.57	1.8600	447.00	0.0022371	28.570	28.812	109.91	120.72	191.44	425.20	0.69496	6.9842e-05	0.075180	0.0030890	49.687	0.020126	40.386	42.562	145.76	121.04	165.83	171.67	19.094	1.0154e-05	0.029741
383.75	1.8664	446.62	0.0022390	28.603	28.846	110.00	120.78	191.68	424.06	0.70097	6.9692e-05	0.075128	0.0030725	49.893	0.020043	40.398	42.572	145.77	121.11	166.14	171.51	19.097	1.0164e-05	0.029789
