Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
298.15	0.10132	997.05	0.0010030	1.8883	1.8902	6.6152	74.539	75.328	1496.7	-0.22147	0.00089002	0.60652	liquid
308.15	0.10132	994.03	0.0010060	2.6414	2.6432	9.0995	73.787	75.290	1519.8	-0.21506	0.00071913	0.62170	liquid
318.15	0.10132	990.21	0.0010099	3.3943	3.3961	11.504	72.965	75.306	1536.4	-0.20911	0.00059577	0.63478	liquid
328.15	0.10132	985.69	0.0010145	4.1476	4.1494	13.835	72.090	75.357	1547.4	-0.20344	0.00050362	0.64602	liquid
338.15	0.10132	980.55	0.0010198	4.9015	4.9034	16.099	71.177	75.436	1553.4	-0.19792	0.00043290	0.65558	liquid
348.15	0.10132	974.84	0.0010258	5.6564	5.6582	18.299	70.242	75.542	1555.1	-0.19243	0.00037742	0.66356	liquid
