Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
375.66	0.19271	788.17	0.0012688	3.3937	3.4128	9.3410	111.88	155.02	954.86	-0.28032	0.00025994	0.11701	0.018306	5.0928	0.19636	29.872	32.828	87.645	99.088	109.77	198.87	27.918	9.3864e-06	0.017627
377.22	0.20088	786.34	0.0012717	3.6361	3.6561	9.9852	112.24	155.47	948.24	-0.27661	0.00025631	0.11655	0.018115	5.2957	0.18883	30.012	32.975	87.710	99.608	110.38	198.95	27.603	9.4226e-06	0.017790
378.74	0.20906	784.55	0.0012746	3.8717	3.8925	10.609	112.58	155.90	941.83	-0.27297	0.00025286	0.11610	0.017931	5.4981	0.18188	30.148	33.118	87.775	100.11	110.96	199.02	27.305	9.4578e-06	0.017949
380.21	0.21723	782.82	0.0012774	4.1010	4.1226	11.213	112.92	156.32	935.62	-0.26939	0.00024957	0.11566	0.017751	5.7003	0.17543	30.281	33.257	87.841	100.60	111.53	199.08	27.021	9.4919e-06	0.018105
381.64	0.22540	781.13	0.0012802	4.3243	4.3468	11.799	113.24	156.73	929.60	-0.26588	0.00024642	0.11523	0.017578	5.9022	0.16943	30.410	33.393	87.908	101.07	112.09	199.14	26.751	9.5250e-06	0.018256
383.03	0.23357	779.48	0.0012829	4.5420	4.5654	12.369	113.56	157.13	923.75	-0.26242	0.00024342	0.11482	0.017409	6.1038	0.16383	30.536	33.525	87.974	101.54	112.63	199.18	26.493	9.5573e-06	0.018404
384.39	0.24174	777.86	0.0012856	4.7545	4.7788	12.923	113.87	157.52	918.07	-0.25901	0.00024054	0.11442	0.017246	6.3052	0.15860	30.658	33.653	88.041	101.98	113.16	199.22	26.246	9.5887e-06	0.018549
385.70	0.24991	776.29	0.0012882	4.9621	4.9873	13.462	114.17	157.90	912.54	-0.25566	0.00023777	0.11403	0.017086	6.5063	0.15370	30.778	33.779	88.108	102.42	113.67	199.25	26.010	9.6193e-06	0.018691
386.99	0.25808	774.75	0.0012907	5.1651	5.1911	13.988	114.47	158.27	907.15	-0.25234	0.00023512	0.11364	0.016931	6.7072	0.14909	30.896	33.901	88.175	102.85	114.18	199.28	25.784	9.6491e-06	0.018829
388.25	0.26625	773.24	0.0012933	5.3636	5.3905	14.500	114.75	158.64	901.89	-0.24908	0.00023256	0.11327	0.016780	6.9079	0.14476	31.010	34.021	88.242	103.26	114.67	199.30	25.568	9.6783e-06	0.018965
