Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
390.70	8.7134	396.42	0.0025226	16.571	16.945	57.627	49.784	182.43	513.32	1.2964	4.5679e-05	0.25404	0.0018741	92.109	0.010857	24.142	25.753	80.170	57.436	251.41	340.02	8.8103	1.5512e-05	0.088503
390.82	8.7323	395.90	0.0025259	16.587	16.963	57.669	49.810	183.37	511.88	1.3049	4.5582e-05	0.25376	0.0018559	92.462	0.010815	24.133	25.741	80.130	57.488	253.17	339.79	8.7942	1.5534e-05	0.088868
390.94	8.7512	395.37	0.0025293	16.603	16.980	57.711	49.836	184.33	510.43	1.3134	4.5486e-05	0.25348	0.0018378	92.816	0.010774	24.123	25.729	80.090	57.540	254.97	339.55	8.7781	1.5555e-05	0.089235
391.06	8.7701	394.85	0.0025326	16.619	16.997	57.753	49.862	185.30	508.98	1.3220	4.5390e-05	0.25320	0.0018197	93.172	0.010733	24.114	25.717	80.050	57.593	256.79	339.31	8.7620	1.5577e-05	0.089607
391.18	8.7891	394.32	0.0025360	16.635	17.015	57.796	49.888	186.28	507.53	1.3306	4.5293e-05	0.25292	0.0018017	93.530	0.010692	24.104	25.705	80.011	57.646	258.64	339.07	8.7458	1.5599e-05	0.089982
391.30	8.8080	393.79	0.0025394	16.651	17.032	57.838	49.914	187.28	506.09	1.3393	4.5197e-05	0.25265	0.0017838	93.890	0.010651	24.095	25.692	79.970	57.699	260.52	338.83	8.7296	1.5621e-05	0.090360
391.42	8.8269	393.26	0.0025429	16.667	17.049	57.880	49.941	188.29	504.64	1.3481	4.5101e-05	0.25237	0.0017659	94.252	0.010610	24.085	25.680	79.930	57.753	262.43	338.59	8.7134	1.5643e-05	0.090743
391.53	8.8459	392.72	0.0025463	16.683	17.067	57.923	49.968	189.32	503.19	1.3569	4.5004e-05	0.25209	0.0017481	94.615	0.010569	24.075	25.668	79.890	57.807	264.37	338.34	8.6972	1.5665e-05	0.091129
391.65	8.8648	392.19	0.0025498	16.699	17.084	57.965	49.995	190.37	501.74	1.3658	4.4908e-05	0.25182	0.0017304	94.980	0.010528	24.066	25.655	79.850	57.862	266.34	338.10	8.6809	1.5688e-05	0.091519
391.77	8.8837	391.65	0.0025533	16.715	17.102	58.008	50.022	191.43	500.29	1.3748	4.4812e-05	0.25155	0.0017127	95.348	0.010488	24.056	25.643	79.809	57.917	268.34	337.85	8.6646	1.5710e-05	0.091912
391.89	8.9026	391.11	0.0025568	16.731	17.119	58.050	50.050	192.50	498.84	1.3839	4.4715e-05	0.25128	0.0016951	95.717	0.010448	24.046	25.630	79.768	57.972	270.37	337.61	8.6482	1.5733e-05	0.092310
