Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
298.15	0.10132	873.66	0.0011446	-7.8227	-7.8136	-24.017	95.160	135.42	1301.1	-0.42293	0.00060301	0.14127	liquid
308.15	0.10132	863.09	0.0011586	-6.4577	-6.4485	-19.513	97.137	137.62	1254.3	-0.40825	0.00052799	0.13795	liquid
318.15	0.10132	852.41	0.0011731	-5.0701	-5.0609	-15.082	99.195	139.94	1208.1	-0.39255	0.00046699	0.13471	liquid
328.15	0.10132	841.62	0.0011882	-3.6588	-3.6494	-10.714	101.32	142.37	1162.6	-0.37583	0.00041639	0.13153	liquid
338.15	0.10132	830.68	0.0012038	-2.2226	-2.2131	-6.4023	103.48	144.90	1117.8	-0.35805	0.00037373	0.12840	liquid
348.15	0.10132	819.59	0.0012201	-0.76074	-0.75109	-2.1418	105.69	147.51	1073.5	-0.33913	0.00033727	0.12532	liquid
