Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
425.03	0.78132	517.95	0.0019307	19.239	19.369	50.281	195.47	255.84	521.88	0.12754	0.00010176	0.089280	0.0056666	23.824	0.041975	38.716	41.543	102.45	191.71	215.26	167.21	19.489	9.6504e-06	0.026417
425.36	0.78639	517.49	0.0019324	19.324	19.455	50.480	195.59	256.07	520.40	0.13087	0.00010148	0.089216	0.0056380	23.987	0.041689	38.768	41.593	102.53	191.86	215.53	167.07	19.473	9.6672e-06	0.026463
425.70	0.79147	517.03	0.0019341	19.408	19.540	50.678	195.72	256.30	518.93	0.13421	0.00010120	0.089153	0.0056096	24.150	0.041407	38.820	41.644	102.60	192.01	215.80	166.94	19.457	9.6840e-06	0.026509
426.03	0.79654	516.56	0.0019359	19.492	19.625	50.876	195.84	256.53	517.47	0.13756	0.00010092	0.089089	0.0055813	24.314	0.041128	38.871	41.694	102.68	192.16	216.06	166.81	19.442	9.7008e-06	0.026555
426.36	0.80161	516.10	0.0019376	19.576	19.710	51.072	195.96	256.76	516.01	0.14092	0.00010065	0.089027	0.0055532	24.478	0.040853	38.922	41.744	102.75	192.31	216.33	166.67	19.428	9.7176e-06	0.026600
426.69	0.80669	515.64	0.0019393	19.659	19.794	51.267	196.07	256.99	514.56	0.14429	0.00010037	0.088964	0.0055252	24.642	0.040581	38.973	41.794	102.83	192.46	216.60	166.54	19.413	9.7344e-06	0.026646
427.01	0.81176	515.19	0.0019410	19.742	19.878	51.462	196.19	257.22	513.11	0.14768	0.00010010	0.088902	0.0054974	24.806	0.040312	39.024	41.844	102.90	192.60	216.87	166.40	19.399	9.7512e-06	0.026692
427.34	0.81683	514.73	0.0019428	19.824	19.961	51.655	196.31	257.45	511.67	0.15107	9.9831e-05	0.088840	0.0054698	24.971	0.040047	39.074	41.893	102.98	192.75	217.13	166.27	19.385	9.7679e-06	0.026738
427.66	0.82191	514.27	0.0019445	19.907	20.044	51.848	196.43	257.68	510.24	0.15448	9.9562e-05	0.088779	0.0054423	25.136	0.039784	39.124	41.942	103.05	192.90	217.40	166.13	19.372	9.7847e-06	0.026783
427.98	0.82698	513.82	0.0019462	19.989	20.127	52.040	196.55	257.91	508.81	0.15790	9.9296e-05	0.088718	0.0054150	25.301	0.039525	39.174	41.991	103.12	193.04	217.67	166.00	19.359	9.8014e-06	0.026829
428.30	0.83205	513.37	0.0019479	20.070	20.210	52.231	196.66	258.13	507.39	0.16133	9.9030e-05	0.088657	0.0053878	25.466	0.039268	39.223	42.039	103.20	193.18	217.93	165.86	19.346	9.8181e-06	0.026874
428.62	0.83713	512.91	0.0019496	20.151	20.292	52.421	196.78	258.36	505.97	0.16477	9.8767e-05	0.088596	0.0053607	25.631	0.039015	39.273	42.087	103.27	193.33	218.20	165.73	19.333	9.8348e-06	0.026920
428.94	0.84220	512.46	0.0019514	20.232	20.374	52.610	196.89	258.59	504.56	0.16823	9.8505e-05	0.088536	0.0053338	25.797	0.038764	39.322	42.135	103.34	193.47	218.47	165.59	19.321	9.8515e-06	0.026965
429.26	0.84728	512.01	0.0019531	20.313	20.456	52.798	197.01	258.82	503.16	0.17170	9.8245e-05	0.088476	0.0053071	25.963	0.038517	39.371	42.183	103.41	193.61	218.73	165.45	19.309	9.8682e-06	0.027011
429.57	0.85235	511.56	0.0019548	20.394	20.537	52.986	197.12	259.05	501.76	0.17518	9.7986e-05	0.088417	0.0052805	26.129	0.038272	39.420	42.231	103.49	193.75	219.00	165.32	19.298	9.8849e-06	0.027056
429.89	0.85742	511.11	0.0019565	20.474	20.618	53.172	197.24	259.28	500.37	0.17867	9.7729e-05	0.088358	0.0052540	26.295	0.038030	39.468	42.278	103.56	193.89	219.26	165.18	19.287	9.9016e-06	0.027101
430.20	0.86250	510.67	0.0019582	20.553	20.699	53.358	197.35	259.51	498.98	0.18218	9.7474e-05	0.088299	0.0052277	26.462	0.037791	39.516	42.325	103.63	194.03	219.53	165.04	19.276	9.9182e-06	0.027146
430.51	0.86757	510.22	0.0019599	20.633	20.779	53.543	197.46	259.74	497.60	0.18570	9.7220e-05	0.088240	0.0052015	26.628	0.037554	39.564	42.372	103.70	194.17	219.79	164.91	19.265	9.9349e-06	0.027192
430.82	0.87264	509.77	0.0019617	20.712	20.860	53.728	197.58	259.97	496.22	0.18923	9.6968e-05	0.088182	0.0051754	26.795	0.037320	39.612	42.418	103.77	194.31	220.06	164.77	19.255	9.9515e-06	0.027237
431.13	0.87772	509.33	0.0019634	20.791	20.940	53.911	197.69	260.19	494.85	0.19278	9.6717e-05	0.088124	0.0051495	26.963	0.037088	39.660	42.465	103.84	194.44	220.33	164.63	19.245	9.9681e-06	0.027282
431.44	0.88279	508.89	0.0019651	20.870	21.019	54.094	197.80	260.42	493.48	0.19634	9.6468e-05	0.088067	0.0051238	27.130	0.036859	39.707	42.511	103.91	194.58	220.59	164.49	19.235	9.9847e-06	0.027327
431.74	0.88786	508.44	0.0019668	20.948	21.099	54.276	197.91	260.65	492.12	0.19991	9.6220e-05	0.088009	0.0050981	27.298	0.036633	39.754	42.557	103.98	194.72	220.86	164.35	19.226	1.0001e-05	0.027372
