Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
173.23	2.6113	300.73	0.0033253	3.8340	3.9733	27.204	30.791	89.970	609.00	0.73747	3.5985e-05	0.095682	0.0020397	44.876	0.022284	7.8489	8.7824	54.966	32.135	81.207	273.78	14.205	7.3062e-06	0.027209
173.31	2.6189	300.46	0.0033282	3.8405	3.9803	27.243	30.797	90.177	607.71	0.74326	3.5922e-05	0.095557	0.0020275	45.042	0.022201	7.8476	8.7804	54.938	32.156	81.508	273.70	14.191	7.3144e-06	0.027265
173.40	2.6266	300.19	0.0033312	3.8470	3.9874	27.281	30.802	90.386	606.42	0.74908	3.5859e-05	0.095433	0.0020154	45.209	0.022120	7.8463	8.7784	54.911	32.178	81.811	273.61	14.176	7.3226e-06	0.027320
173.48	2.6342	299.93	0.0033341	3.8535	3.9944	27.319	30.807	90.597	605.13	0.75493	3.5797e-05	0.095309	0.0020033	45.376	0.022038	7.8450	8.7763	54.883	32.199	82.116	273.53	14.162	7.3308e-06	0.027376
173.56	2.6419	299.66	0.0033371	3.8600	4.0014	27.357	30.813	90.809	603.84	0.76081	3.5734e-05	0.095185	0.0019912	45.543	0.021957	7.8436	8.7742	54.856	32.221	82.423	273.45	14.148	7.3390e-06	0.027432
173.65	2.6495	299.39	0.0033401	3.8664	4.0084	27.395	30.818	91.022	602.55	0.76671	3.5672e-05	0.095061	0.0019792	45.711	0.021876	7.8423	8.7722	54.829	32.243	82.734	273.37	14.134	7.3472e-06	0.027488
173.73	2.6572	299.13	0.0033431	3.8729	4.0154	27.433	30.824	91.237	601.26	0.77265	3.5610e-05	0.094938	0.0019673	45.879	0.021796	7.8409	8.7701	54.801	32.265	83.046	273.29	14.119	7.3555e-06	0.027545
173.81	2.6648	298.86	0.0033461	3.8794	4.0224	27.471	30.830	91.454	599.98	0.77861	3.5548e-05	0.094814	0.0019553	46.048	0.021716	7.8396	8.7680	54.774	32.287	83.361	273.21	14.105	7.3638e-06	0.027602
173.89	2.6724	298.59	0.0033490	3.8858	4.0294	27.509	30.835	91.672	598.69	0.78460	3.5486e-05	0.094691	0.0019434	46.217	0.021637	7.8382	8.7659	54.746	32.309	83.679	273.13	14.091	7.3721e-06	0.027659
173.98	2.6801	298.33	0.0033520	3.8923	4.0364	27.547	30.841	91.892	597.41	0.79062	3.5425e-05	0.094568	0.0019315	46.386	0.021558	7.8368	8.7637	54.719	32.331	83.999	273.04	14.077	7.3804e-06	0.027716
174.06	2.6877	298.06	0.0033551	3.8987	4.0434	27.584	30.847	92.114	596.13	0.79667	3.5363e-05	0.094446	0.0019197	46.556	0.021479	7.8354	8.7616	54.691	32.353	84.322	272.96	14.062	7.3887e-06	0.027773
174.14	2.6954	297.79	0.0033581	3.9052	4.0504	27.622	30.853	92.337	594.84	0.80275	3.5302e-05	0.094323	0.0019079	46.727	0.021401	7.8340	8.7594	54.664	32.375	84.648	272.88	14.048	7.3971e-06	0.027831
174.22	2.7030	297.52	0.0033611	3.9116	4.0574	27.660	30.859	92.563	593.56	0.80887	3.5241e-05	0.094201	0.0018962	46.897	0.021323	7.8326	8.7572	54.636	32.398	84.976	272.80	14.034	7.4055e-06	0.027889
174.30	2.7107	297.25	0.0033641	3.9181	4.0644	27.698	30.865	92.789	592.28	0.81501	3.5179e-05	0.094079	0.0018845	47.068	0.021246	7.8312	8.7551	54.609	32.420	85.307	272.71	14.020	7.4139e-06	0.027948
174.39	2.7183	296.99	0.0033672	3.9245	4.0714	27.735	30.871	93.018	591.00	0.82118	3.5119e-05	0.093957	0.0018728	47.240	0.021169	7.8297	8.7529	54.581	32.442	85.640	272.63	14.005	7.4224e-06	0.028007
174.47	2.7260	296.72	0.0033702	3.9310	4.0783	27.773	30.878	93.248	589.72	0.82738	3.5058e-05	0.093836	0.0018611	47.412	0.021092	7.8283	8.7507	54.554	32.465	85.977	272.55	13.991	7.4308e-06	0.028066
174.55	2.7336	296.45	0.0033733	3.9374	4.0853	27.811	30.884	93.480	588.44	0.83362	3.4997e-05	0.093715	0.0018495	47.584	0.021015	7.8268	8.7484	54.526	32.487	86.316	272.46	13.977	7.4393e-06	0.028125
174.63	2.7413	296.18	0.0033763	3.9438	4.0923	27.848	30.890	93.714	587.16	0.83988	3.4936e-05	0.093593	0.0018380	47.757	0.020939	7.8253	8.7462	54.498	32.510	86.658	272.38	13.962	7.4478e-06	0.028184
174.71	2.7489	295.91	0.0033794	3.9502	4.0993	27.886	30.897	93.950	585.88	0.84618	3.4876e-05	0.093472	0.0018264	47.930	0.020864	7.8238	8.7439	54.471	32.533	87.003	272.30	13.948	7.4564e-06	0.028244
174.79	2.7566	295.64	0.0033825	3.9567	4.1062	27.923	30.903	94.187	584.60	0.85251	3.4816e-05	0.093352	0.0018149	48.104	0.020788	7.8223	8.7417	54.443	32.555	87.351	272.21	13.934	7.4649e-06	0.028305
174.87	2.7642	295.37	0.0033856	3.9631	4.1132	27.961	30.910	94.427	583.33	0.85887	3.4756e-05	0.093231	0.0018035	48.278	0.020714	7.8208	8.7394	54.416	32.578	87.702	272.13	13.919	7.4735e-06	0.028365
174.95	2.7718	295.10	0.0033887	3.9695	4.1202	27.998	30.916	94.668	582.05	0.86527	3.4696e-05	0.093111	0.0017921	48.452	0.020639	7.8193	8.7371	54.388	32.601	88.055	272.05	13.905	7.4821e-06	0.028426
175.03	2.7795	294.83	0.0033918	3.9759	4.1271	28.036	30.923	94.912	580.77	0.87169	3.4636e-05	0.092991	0.0017807	48.627	0.020565	7.8178	8.7348	54.360	32.624	88.412	271.96	13.891	7.4908e-06	0.028487
175.11	2.7871	294.56	0.0033949	3.9823	4.1341	28.073	30.930	95.157	579.50	0.87815	3.4576e-05	0.092871	0.0017693	48.802	0.020491	7.8163	8.7325	54.333	32.647	88.772	271.88	13.876	7.4995e-06	0.028548
